COUNTRY;Regional Definition;AIM/CGE;GCAM;IMAGE;MESSAGE-GLOBIOM;ReMIND-MAGPIE;WITCH-GLOBIOM
AFGANISTAN;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
ALBANIA;OECD;OECD;OECD;OECD;OECD;OECD;REF
ALGERIA;MAF;MAF;MAF;MAF;MAF;MAF;MAF
ANGOLA;MAF;MAF;MAF;MAF;MAF;MAF;MAF
ANTIGUA AND BARBUDA;LAM;LAM;LAM;LAM;LAM;LAM;LAM
ARGENTINA;LAM;LAM;LAM;LAM;LAM;LAM;LAM
ARMENIA;REF;REF;ASIA;REF;REF;MAF;REF
ARUBA;LAM;LAM;LAM;LAM;n/a;n/a;LAM
AUSTRALIA;OECD;OECD;OECD;OECD;OECD;OECD;OECD
AUSTRIA;OECD;OECD;OECD;OECD;OECD;OECD;OECD
AZERBAIJAN;REF;REF;ASIA;REF;REF;MAF;REF
BAHAMAS;LAM;LAM;LAM;LAM;LAM;LAM;LAM
BAHRAIN;MAF;MAF;MAF;MAF;MAF;MAF;MAF
BANGLADESH;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
BARBADOS;LAM;LAM;LAM;LAM;LAM;LAM;LAM
BELARUS;REF;REF;OECD;REF;REF;OECD;REF
BELGIUM;OECD;OECD;OECD;OECD;OECD;OECD;OECD
BELIZE;LAM;LAM;LAM;LAM;LAM;LAM;LAM
BENIN;MAF;MAF;MAF;MAF;MAF;MAF;MAF
BERMUDA;LAM;LAM;LAM;LAM;LAM;LAM;OECD
BHUTAN;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
BOLIVIA;LAM;LAM;LAM;LAM;LAM;LAM;LAM
BOSNIA AND HERZEGOVINA;OECD;OECD;OECD;OECD;OECD;OECD;REF
BOTSWANA;MAF;MAF;MAF;MAF;MAF;MAF;MAF
BRAZIL;LAM;LAM;LAM;LAM;LAM;LAM;LAM
BRUNEI DARUSSALAM;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
BULGARIA;OECD;OECD;OECD;OECD;OECD;OECD;OECD
BURKINA FASO;MAF;MAF;MAF;MAF;MAF;MAF;MAF
BURUNDI;MAF;MAF;MAF;MAF;MAF;MAF;MAF
CAMBODIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA;ASIA
CAMEROON;MAF;MAF;MAF;MAF;MAF;MAF;MAF
CANADA;OECD;OECD;OECD;OECD;OECD;OECD;OECD
